NodeId,BaseId,NodeCode,NodeType,Building,Room,Latitude,Longitude,Status,Notes
54497144-b6e9-426b-8912-e917eb262a8b,86e28873-4287-4ae2-bc9e-709e974ed661,C0460,Endpoint,C0460,,,,Active,"Building Name=TANKER MAINTENANCE, New Entry Conduit?=nan, Count=nan"
b90a9525-d1ef-49b0-87fe-c4f167240a9b,86e28873-4287-4ae2-bc9e-709e974ed661,C0461,Endpoint,C0461,,,,Active,"Building Name=TANKER MAINTENANCE, New Entry Conduit?=nan, Count=nan"
3da3d0d1-8052-40e0-8414-ab00ee78cde3,86e28873-4287-4ae2-bc9e-709e974ed661,D0500,Endpoint,D0500,,,,Active,"Building Name=75 SQN HQ NORTH, New Entry Conduit?=Y, Count=1.0"
2fc9b33e-5b85-43ac-8090-65deab549d8d,86e28873-4287-4ae2-bc9e-709e974ed661,D0502,Endpoint,D0502,,,,Active,"Building Name=SIMULATOR, New Entry Conduit?=nan, Count=nan"
3b910cf6-2b60-42d5-8b15-2a32830a507f,86e28873-4287-4ae2-bc9e-709e974ed661,D0503,Endpoint,D0503,,,,Active,"Building Name=AIRCRAFT LIFE SUPPORT WORKSHOP, New Entry Conduit?=nan, Count=nan"
f2db26df-bf78-46f0-9632-7611068338ec,86e28873-4287-4ae2-bc9e-709e974ed661,D0505,Endpoint,D0505,,,,Active,"Building Name=FLIGHT LINE OFFICE/GSE SHELTER, New Entry Conduit?=nan, Count=nan"
5dca81e2-bd4d-4f12-b08d-9fbc919a7e43,86e28873-4287-4ae2-bc9e-709e974ed661,D0512,Endpoint,D0512,,,,Active,"Building Name=QUALITY CONTROL LABORATORY (FUEL FARM 1), New Entry Conduit?=nan, Count=nan"
783e8241-ca7e-4924-8bd4-ba8732bb16be,86e28873-4287-4ae2-bc9e-709e974ed661,D0519,Endpoint,D0519,,,,Active,"Building Name=75 SQN HQ SOUTH, New Entry Conduit?=nan, Count=nan"
ef6b3750-fb26-4ebf-b008-bf6770f71f4d,86e28873-4287-4ae2-bc9e-709e974ed661,D0521,Endpoint,D0521,,,,Active,"Building Name=ENGINE MAINTENANCE WORKSHOP, New Entry Conduit?=nan, Count=nan"
596029fa-05f0-4c2d-9937-21bea41c85f5,86e28873-4287-4ae2-bc9e-709e974ed661,D0524,Endpoint,D0524,,,,Active,"Building Name=MAINTENANCE HANGAR OFFICE NORTH, New Entry Conduit?=nan, Count=nan"
d1f7b87f-e029-472f-8b4e-24b8c03d5c2e,86e28873-4287-4ae2-bc9e-709e974ed661,D0529,Endpoint,D0529,,,,Active,"Building Name=AVIONICS OXYGEN WORKSHOP, New Entry Conduit?=nan, Count=nan"
c2a275dc-d5d1-40ea-907a-80cadc40bdd5,86e28873-4287-4ae2-bc9e-709e974ed661,D0530,Endpoint,D0530,,,,Active,"Building Name=AVIONIC WORKSHOP, New Entry Conduit?=nan, Count=nan"
8271488e-4a08-4d51-b238-6f673f2f9898,86e28873-4287-4ae2-bc9e-709e974ed661,D0532,Endpoint,D0532,,,,Active,"Building Name=TECHNICAL SUPPORT COMPLEX, New Entry Conduit?=nan, Count=nan"
032d8b5e-e486-448f-9656-92404070f628,86e28873-4287-4ae2-bc9e-709e974ed661,D0540,Endpoint,D0540,,,,Active,"Building Name=ALTERNATICE MISSION EQUIPMENT STORE, New Entry Conduit?=nan, Count=nan"
a07e2c2e-7622-4c04-a6d1-46a4ed547afc,86e28873-4287-4ae2-bc9e-709e974ed661,D0542,Endpoint,D0542,,,,Active,"Building Name=MAINTENANCE HANGAR OFFICE SOUTH, New Entry Conduit?=nan, Count=nan"
eb19f08c-69fc-4939-af7d-c39c771b2750,86e28873-4287-4ae2-bc9e-709e974ed661,D0551,Endpoint,D0551,,,,Active,"Building Name=COMPOSITE BONDING WORKSHOP, New Entry Conduit?=nan, Count=nan"
e6a6f575-b702-4745-a52d-d29b7a7a0385,86e28873-4287-4ae2-bc9e-709e974ed661,D0553,Endpoint,D0553,,,,Active,"Building Name=SURFIN WORKSHOP, New Entry Conduit?=nan, Count=nan"
004bfd88-6e65-4f87-aba9-8cbb0327c4df,86e28873-4287-4ae2-bc9e-709e974ed661,D0611,Endpoint,D0611,,,,Active,"Building Name=ACOUSTIC SHELTER (NO.1), New Entry Conduit?=nan, Count=nan"
728f88ba-d846-44bd-918e-fc7265d28ebd,86e28873-4287-4ae2-bc9e-709e974ed661,D0621,Endpoint,D0621,,,,Active,"Building Name=ACOUSTIC SHELTER (NO.2), New Entry Conduit?=nan, Count=nan"
7e9cf0a7-9768-4e2e-923d-cd2b3d873662,86e28873-4287-4ae2-bc9e-709e974ed661,D0631,Endpoint,D0631,,,,Active,"Building Name=ACOUSTIC SHELTER (NO.3), New Entry Conduit?=nan, Count=nan"
34d11ef2-7783-4b4b-8101-b04a5b45c8d4,86e28873-4287-4ae2-bc9e-709e974ed661,D0641,Endpoint,D0641,,,,Active,"Building Name=ACOUSTIC SHELTER (NO.4), New Entry Conduit?=nan, Count=nan"
979a4568-3496-409e-8d39-776a14445be2,86e28873-4287-4ae2-bc9e-709e974ed661,D0651,Endpoint,D0651,,,,Active,"Building Name=ACOUSTIC SHELTER (NO.5), New Entry Conduit?=nan, Count=nan"
b00b033f-0809-4f47-baca-13d52d5729e7,86e28873-4287-4ae2-bc9e-709e974ed661,D0661,Endpoint,D0661,,,,Active,"Building Name=ACOUSTIC SHELTER (NO.6), New Entry Conduit?=nan, Count=nan"
34965a81-59a3-41f3-872e-0750ec34d532,86e28873-4287-4ae2-bc9e-709e974ed661,D0671,Endpoint,D0671,,,,Active,"Building Name=ACOUSTIC SHELTER (NO.7), New Entry Conduit?=nan, Count=nan"
